mes_ano;rio;chuva;vazao;oxigenio;chuva_norm;vazao_norm;oxigenio_norm;codigo_estacao;chuva_hist;vazao_hist;chuva_hist_norm;vazao_hist_norm
2025-07;Rio Jundiaí;27.0;3.89;21.77;0.12380952380952383;0.01601772712883824;0.218;EF33;29.0;5.41;0.06862745098039215;0.021898674242424247
2025-08;Rio Piracicaba em Artemis;4.0;25.37;57.26;0.014285714285714287;0.1520101297879076;0.573;EF06;34.0;36.13;0.09313725490196077;0.2037168560606061
2025-08;Rio Piracicaba em Monte Alegre;1.0;20.34;0.0;0.0;0.12016460905349796;0.0;EF30;37.0;30.88;0.10784313725490195;0.1726444128787879
2025-08;Rio Atibaia;1.0;9.91;100.0;0.0;0.05413105413105414;1.0;EF31;37.0;8.32;0.10784313725490195;0.039121685606060615
2025-08;Rio Jaguari;4.0;1.43;0.0;0.014285714285714287;0.00044317822095599896;0.0;EF32;29.0;1.73;0.06862745098039215;0.00011837121212121202
2025-08;Rio Jundiaí;12.0;3.21;0.27;0.05238095238095239;0.011712567268122826;0.003;EF33;37.0;4.65;0.10784313725490195;0.017400568181818184
2025-09;Rio Piracicaba em Artemis;12.0;27.75;27.23;0.05238095238095239;0.16707818930041154;0.272;EF06;42.0;35.98;0.13235294117647056;0.20282907196969696
2025-09;Rio Piracicaba em Monte Alegre;15.0;22.86;4.68;0.06666666666666668;0.1361190250079139;0.047;EF30;47.0;30.18;0.1568627450980392;0.16850142045454547
2025-09;Rio Atibaia;72.0;10.9;51.11;0.3380952380952381;0.0603988603988604;0.511;EF31;53.0;8.41;0.18627450980392157;0.039654356060606064
2025-09;Rio Jaguari;35.0;1.77;0.0;0.1619047619047619;0.0025957581513137064;0.0;EF32;50.0;2.04;0.1715686274509804;0.001953125
2025-09;Rio Jundiaí;30.0;3.74;10.56;0.1380952380952381;0.015068059512503961;0.106;EF33;63.0;5.1;0.23529411764705882;0.020063920454545456
